Gachedili - Wikipedia,Georgian language - Wikipedia,4,FALSE,
,,,,
Euro gold and silver commemorative coins (France): 2004 - Wikipedia,Latin - Wikipedia,19,FALSE,
,,,,
Iophanus - Wikipedia,Science - Wikipedia,12,FALSE,
,,,,
Supreme Military Council (Ghana) - Wikipedia,Linguistics - Wikipedia,15,FALSE,
,,,,
Christopher Ocland - Wikipedia,Latin - Wikipedia,25,FALSE,
,,,,
Renbygda - Wikipedia,Linguistics - Wikipedia,30,FALSE,
,,,,
Masters M55 high jump world record progression - Wikipedia,Latin - Wikipedia,18,TRUE,
,,,,
Chet Faliszek - Wikipedia,Linguistics - Wikipedia,29,FALSE,
,,,,
Hanne Birke - Wikipedia,Latin - Wikipedia,23,FALSE,
,,,,
"Farmers Field (Lewisville, Texas) - Wikipedia",Latin - Wikipedia,19,TRUE,
,,,,
Hobhouse baronets - Wikipedia,Linguistics - Wikipedia,26,FALSE,
,,,,
Jud S�� (1940 film) - Wikipedia,Reality - Wikipedia,30,TRUE,starting from here the program disregards links that are within brackets
,,,,
Lee So-young (volleyball) - Wikipedia,Philosophy - Wikipedia,13,TRUE,
,,,,
Endre Misteth - Wikipedia,Reality - Wikipedia,31,TRUE,
,,,,
Albert Farrar - Wikipedia,Philosophy - Wikipedia,15,TRUE,
,,,,
Reiherbach (Weser) - Wikipedia,Reality - Wikipedia,19,TRUE,
,,,,
Gautreks saga - Wikipedia,Reality - Wikipedia,16,TRUE,
,,,,
Paruthiapparkoil - Wikipedia,Reality - Wikipedia,39,TRUE,
,,,,
Shannondale Springs - Wikipedia,Reality - Wikipedia,37,TRUE,
,,,,
Watanabe no Tsuna - Wikipedia,Reality - Wikipedia,40,TRUE,
,,,,
Pegli - Wikipedia,Reality - Wikipedia,15,TRUE,
,,,,
Flood wall - Wikipedia,Reality - Wikipedia,22,TRUE,
,,,,
Sicus - Wikipedia,Reality - Wikipedia,15,TRUE,
,,,,
Nauka (publisher) - Wikipedia,Reality - Wikipedia,29,TRUE,
,,,,
List of Columbia Pictures films - Wikipedia,Object (philosophy) - Wikipedia,20,TRUE,
,,,,
Dennis Gruenling - Wikipedia,Philosophy - Wikipedia,15,TRUE,
Alexandra Keresztesi - Wikipedia,Reality - Wikipedia,31,True
Insect olfaction - Wikipedia,Reality - Wikipedia,17,True
Josephus of Arimathea - Wikipedia,Reality - Wikipedia,22,True
G�rard Thibault d'Anvers - Wikipedia,Reality - Wikipedia,24,True
Electoral results for the Division of Lingiari - Wikipedia,Reality - Wikipedia,18,True
Aundhe Khurd - Wikipedia,State governments of India - Wikipedia,5,False
The Silent Stars Go By - Wikipedia,Reality - Wikipedia,22,True
Chhatar Singh - Wikipedia,Reality - Wikipedia,39,True
El Amor Que Perdimos - Wikipedia,Reality - Wikipedia,33,True
Anderson Cup (field hockey) - Wikipedia,Philosophy - Wikipedia,17,True
Maya AUV India - Wikipedia,Object (philosophy) - Wikipedia,18,True
Gertruda Komorowska - Wikipedia,Reality - Wikipedia,18,True
"Hammond, Wisconsin - Wikipedia",County (United States) - Wikipedia,5,False
2000–01 United States network television schedule (daytime) - Wikipedia,Reality - Wikipedia,21,True
Steinbrunn - Wikipedia,Reality - Wikipedia,18,True
KGTK - Wikipedia,Reality - Wikipedia,16,True
Anna Loos - Wikipedia,Reality - Wikipedia,30,True
Scoparia antarcticalis - Wikipedia,Collective intelligence - Wikipedia,8,False
Monogalactosyldiacylglycerol synthase - Wikipedia,Reality - Wikipedia,18,True
Dave Major - Wikipedia,Philosophy - Wikipedia,13,True
Your Neighbor's Son - Wikipedia,Philosophy - Wikipedia,13,True
I Know (Tom Odell song) - Wikipedia,Reality - Wikipedia,30,True
The Perfect Mother - Wikipedia,Reality - Wikipedia,22,True
Felipe Birriel - Wikipedia,Reality - Wikipedia,23,True
Akchim (river) - Wikipedia,Reality - Wikipedia,39,True
Principality of Khachen - Wikipedia,Reality - Wikipedia,30,True
Meottomyces - Wikipedia,Reality - Wikipedia,15,True
Zeleni Venac - Wikipedia,Reality - Wikipedia,31,True
Sodium-potassium alloy - Wikipedia,Reality - Wikipedia,16,True
Terraplane Blues - Wikipedia,Philosophy - Wikipedia,14,True
Propionibacterium acidifaciens - Wikipedia,Reality - Wikipedia,17,True
Frederick College - Wikipedia,Reality - Wikipedia,13,True
Kalná Roztoka - Wikipedia,Reality - Wikipedia,13,True
